Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,32,2,16.0,289,5,276,0
1,27,0,inf,242,3,246,0
2,69,3,23.0,623,6,489,0
3,80,6,13.333333333333334,725,9,671,0
4,3,0,inf,26,3,29,0
5,43,1,43.0,387,4,355,0
6,27,4,6.75,246,7,252,0
7,28,2,14.0,253,5,213,0
8,53,2,26.5,478,5,453,0
9,32,2,16.0,289,5,253,0
10,7,3,2.3333333333333335,65,6,82,0
11,133,4,33.25,1200,7,957,0
12,65,2,32.5,586,5,459,0
13,33,4,8.25,300,7,245,0
14,22,3,7.333333333333333,200,6,185,0
15,36,3,12.0,326,6,288,0
16,1,0,inf,8,3,12,0
17,114,4,28.5,1029,7,840,0
18,11,4,2.75,102,7,86,0
19,27,3,9.0,245,6,205,0
20,233,6,38.833333333333336,2102,9,1728,0
21,12,2,6.0,109,5,85,0
22,19,4,4.75,174,7,142,0
23,104,4,26.0,939,7,773,0
24,13,0,inf,116,3,85,0
25,13,2,6.5,118,5,114,0
26,118,6,19.666666666666668,1067,9,874,0
27,53,2,26.5,478,5,386,0
28,9,1,9.0,81,4,77,0
29,38,4,9.5,345,7,305,0
30,93,1,93.0,837,4,708,0
31,27,2,13.5,244,5,190,0
32,62,2,31.0,559,5,451,0
33,89,5,17.8,805,8,663,0
34,26,2,13.0,235,5,215,0
35,130,2,65.0,1171,5,957,0
36,147,4,36.75,1326,7,1150,0
37,29,3,9.666666666666666,263,6,282,0
38,3,0,inf,26,3,42,0
39,18,2,9.0,163,5,142,0
40,39,3,13.0,353,6,291,0
41,51,2,25.5,460,5,414,0
42,90,2,45.0,811,5,668,0
43,15,1,15.0,135,4,150,0
44,30,2,15.0,271,5,238,0
45,37,4,9.25,336,7,292,0
46,25,4,6.25,228,7,175,0
47,23,2,11.5,208,5,140,0
48,44,2,22.0,397,5,362,0
49,37,7,5.285714285714286,339,10,300,0
50,17,5,3.4,157,8,145,0
51,5,1,5.0,45,4,43,0
52,82,11,7.454545454545454,748,14,658,0
53,48,2,24.0,433,5,385,0
54,14,2,7.0,127,5,114,0
55,105,2,52.5,946,5,858,0
56,25,2,12.5,226,5,197,0
57,60,2,30.0,541,5,435,0
58,10,2,5.0,91,5,78,0
59,28,5,5.6,256,8,226,0
60,56,5,11.2,508,8,439,0
61,28,5,5.6,256,8,241,0
62,41,6,6.833333333333333,374,9,313,0
63,24,6,4.0,221,9,188,0
64,11,0,inf,98,3,51,0
65,34,6,5.666666666666667,311,9,248,0
66,26,5,5.2,238,8,207,0
67,23,2,11.5,208,5,162,0
68,23,3,7.666666666666667,209,6,145,0
69,28,4,7.0,255,7,258,0
70,29,3,9.666666666666666,263,6,256,0
71,54,5,10.8,490,8,459,0
72,31,6,5.166666666666667,284,9,239,0
73,60,3,20.0,542,6,521,0
74,79,4,19.75,714,7,627,0
75,12,1,12.0,108,4,95,0
76,53,4,13.25,480,7,427,0
77,36,0,inf,323,3,293,0
78,28,5,5.6,256,8,237,0
79,7,1,7.0,63,4,64,0
80,50,4,12.5,453,7,344,0
81,42,2,21.0,379,5,278,0
82,55,8,6.875,502,11,429,0
83,31,4,7.75,282,7,250,0
84,37,4,9.25,336,7,255,0
85,9,0,inf,80,3,74,0
86,51,5,10.2,463,8,406,0
87,32,2,16.0,289,5,293,0
88,36,6,6.0,329,9,301,0
89,25,4,6.25,228,7,193,0
90,32,6,5.333333333333333,293,9,262,0
91,18,2,9.0,163,5,135,0
92,9,2,4.5,82,5,89,0
93,78,6,13.0,707,9,660,0
94,28,5,5.6,256,8,244,0
95,21,2,10.5,190,5,152,0
96,11,1,11.0,99,4,73,0
97,102,6,17.0,923,9,795,0
98,41,4,10.25,372,7,332,0
99,101,2,50.5,910,5,762,0
0,27,2,13.5,244,5,162,0
1,25,1,25.0,225,4,200,0
2,48,2,24.0,433,5,357,0
3,58,2,29.0,523,5,412,0
4,68,3,22.666666666666668,614,6,523,0
5,84,4,21.0,759,7,657,0
6,54,2,27.0,487,5,442,0
7,27,4,6.75,246,7,239,0
8,61,0,inf,548,3,465,0
9,69,6,11.5,626,9,566,0
10,20,3,6.666666666666667,182,6,176,0
11,83,4,20.75,750,7,627,0
12,67,5,13.4,607,8,496,0
13,51,6,8.5,464,9,429,0
14,20,3,6.666666666666667,182,6,153,0
15,34,2,17.0,307,5,272,0
16,57,8,7.125,520,11,497,0
17,52,6,8.666666666666666,473,9,404,0
18,55,3,18.333333333333332,497,6,436,0
19,64,3,21.333333333333332,578,6,501,0
20,34,3,11.333333333333334,308,6,282,0
21,40,3,13.333333333333334,362,6,296,0
22,29,4,7.25,264,7,266,0
23,46,4,11.5,417,7,372,0
24,47,5,9.4,427,8,399,0
25,39,2,19.5,352,5,290,0
26,4,0,inf,35,3,35,0
27,3,0,inf,26,3,35,0
28,41,4,10.25,372,7,315,0
29,8,1,8.0,72,4,54,0
30,104,5,20.8,940,8,875,0
31,62,5,12.4,562,8,483,0
32,63,4,15.75,570,7,471,0
33,42,4,10.5,381,7,327,0
34,61,4,15.25,552,7,434,0
35,40,2,20.0,361,5,308,0
36,32,5,6.4,292,8,215,0
37,41,2,20.5,370,5,326,0
38,41,6,6.833333333333333,374,9,418,0
39,32,2,16.0,289,5,269,0
40,28,5,5.6,256,8,260,0
41,3,0,inf,26,3,21,0
42,107,5,21.4,967,8,787,0
43,85,5,17.0,769,8,646,0
44,75,4,18.75,678,7,571,0
45,125,5,25.0,1129,8,966,0
46,53,2,26.5,478,5,371,0
47,26,3,8.666666666666666,236,6,232,0
48,26,1,26.0,235,4,316,1
49,33,3,11.0,299,6,217,0
50,31,4,7.75,282,7,242,0
51,39,4,9.75,354,7,305,0
52,26,2,13.0,235,5,191,0
53,22,1,22.0,198,4,205,0
54,43,0,inf,386,3,346,0
55,8,0,inf,71,3,68,0
56,39,2,19.5,352,5,295,0
57,54,3,18.0,488,6,431,0
58,35,3,11.666666666666666,317,6,284,0
59,5,2,2.5,46,5,57,0
60,27,2,13.5,244,5,167,0
61,39,6,6.5,356,9,311,0
62,57,2,28.5,514,5,386,0
63,13,2,6.5,118,5,149,0
64,13,2,6.5,118,5,127,0
65,32,7,4.571428571428571,294,10,324,0
66,11,5,2.2,103,8,107,0
67,102,6,17.0,923,9,824,0
68,11,2,5.5,100,5,81,0
69,42,2,21.0,379,5,329,0
