Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,16,3,5.333333333333333,162,6,140,0
1,8,1,8.0,80,4,75,0
2,40,3,13.333333333333334,402,6,316,0
3,55,4,13.75,553,7,456,0
4,39,5,7.8,394,8,367,0
5,1,0,inf,9,3,8,0
6,22,2,11.0,221,5,174,0
7,60,3,20.0,602,6,471,0
8,62,0,inf,619,3,508,0
9,37,4,9.25,373,7,266,0
10,61,3,20.333333333333332,612,6,482,0
11,31,5,6.2,314,8,261,0
12,70,7,10.0,706,10,592,0
13,39,3,13.0,392,6,317,0
14,54,2,27.0,541,5,459,0
15,17,4,4.25,174,7,235,1
16,169,4,42.25,1693,7,1278,0
17,59,3,19.666666666666668,592,6,445,0
18,54,3,18.0,542,6,430,0
19,10,0,inf,100,3,188,1
20,24,5,4.8,244,8,195,0
21,33,3,11.0,332,6,267,0
22,75,6,12.5,755,9,581,0
23,6,1,6.0,61,4,178,1
24,51,5,10.2,514,8,383,0
25,37,2,18.5,371,5,257,0
26,38,0,inf,379,3,281,0
27,40,0,inf,399,3,289,0
28,39,8,4.875,397,11,314,0
29,4,0,inf,39,3,15,0
30,42,5,8.4,424,8,354,0
31,7,0,inf,69,3,47,0
32,72,3,24.0,722,6,558,0
33,38,4,9.5,383,7,292,0
34,17,2,8.5,171,5,140,0
35,19,4,4.75,193,7,131,0
36,52,5,10.4,524,8,387,0
37,57,3,19.0,572,6,441,0
38,27,3,9.0,272,6,203,0
39,88,3,29.333333333333332,882,6,716,0
40,15,1,15.0,151,4,199,1
41,60,2,30.0,602,5,593,1
42,19,1,19.0,190,4,120,0
43,4,2,2.0,41,5,54,0
44,4,0,inf,39,3,28,0
45,41,4,10.25,413,7,327,0
46,2,0,inf,19,3,25,0
47,37,2,18.5,371,5,331,0
48,13,5,2.6,134,8,126,0
49,23,2,11.5,231,5,191,0
50,19,3,6.333333333333333,192,6,161,0
51,32,5,6.4,324,8,271,0
52,30,6,5.0,306,9,367,1
53,53,7,7.571428571428571,536,10,385,0
54,183,1,183.0,1830,4,1337,0
55,31,5,6.2,314,8,232,0
56,57,4,14.25,573,7,483,0
57,82,4,20.5,823,7,632,0
58,61,5,12.2,614,8,482,0
59,71,3,23.666666666666668,712,6,519,0
60,71,5,14.2,714,8,561,0
61,7,2,3.5,71,5,54,0
62,29,5,5.8,294,8,240,0
63,10,1,10.0,101,4,167,1
64,20,3,6.666666666666667,202,6,164,0
65,12,3,4.0,122,6,98,0
66,45,5,9.0,454,8,382,0
67,32,2,16.0,321,5,247,0
68,66,5,13.2,664,8,503,0
69,63,5,12.6,634,8,526,0
70,34,1,34.0,340,4,257,0
71,70,1,70.0,700,4,587,0
72,53,0,inf,530,3,488,1
73,48,0,inf,479,3,402,0
74,36,2,18.0,361,5,305,0
75,59,4,14.75,593,7,423,0
76,33,3,11.0,332,6,242,0
77,19,3,6.333333333333333,192,6,147,0
78,40,4,10.0,403,7,344,0
79,56,2,28.0,561,5,454,0
80,3,0,inf,30,3,125,1
81,25,2,12.5,251,5,228,0
82,12,3,4.0,122,6,100,0
83,22,2,11.0,221,5,210,0
84,49,5,9.8,494,8,400,0
85,24,5,4.8,244,8,208,0
86,63,3,21.0,632,6,513,0
87,55,3,18.333333333333332,552,6,374,0
88,64,1,64.0,641,4,552,1
89,39,4,9.75,393,7,351,0
90,81,3,27.0,812,6,681,0
91,14,3,4.666666666666667,142,6,126,0
92,42,4,10.5,423,7,325,0
93,40,5,8.0,404,8,337,0
94,36,2,18.0,361,5,292,0
95,21,2,10.5,211,5,160,0
96,53,4,13.25,534,7,482,1
97,53,4,13.25,533,7,407,0
98,57,3,19.0,572,6,463,0
99,292,6,48.666666666666664,2925,9,2188,0
